n,method,coordinatewise_u_rmse,mean_kkt_pg,H_gain_vs_DPO,H_gap_to_QP
10,B-PGDPO,0.0016671166699550038,0.0005809919146671211,0.004255561510482745,4.771709965734876e-06
10,DPO,0.09065727125643916,0.01977693245503262,0.0,0.0042603332204484805
10,QP-PGDPO,0.00019884940820584604,5.517292514433784e-18,0.0042603332204484805,0.0
100,B-PGDPO,0.00905870308987637,0.00035709609529307107,0.003889230591122805,6.258289732653925e-06
100,DPO,0.010851675155861955,0.022021842081162098,0.0,0.003895488880855459
100,QP-PGDPO,0.00028591208877094387,1.4452974764535475e-17,0.003895488880855459,0.0
