n,DPO_KKT,B_PGDPO_KKT,QP_PGDPO_KKT,B_PGDPO_gain,QP_PGDPO_gain,zeta_over_Z,zeta_SNR,zeta_replication_l2,full_zero_action_l2,holdout_full_minus_zero
10,0.016204664114633796,0.00026616980844962996,1.2688585020322892e-17,0.005482049187259175,0.005499170974353747,0.0031932103188354764,2.2658664296330358,0.0005807181468323482,0.0011855813121750003,1.1823831179324693e-08
50,0.02263900681840953,0.0011049602433388906,3.541016048343689e-17,0.010976841779593561,0.011096479474287841,0.004742680261338748,2.2118886339744783,0.0008033728547295336,0.0015693349213708931,1.271836455491197e-07
100,0.024701799798240522,0.0020060656652232576,5.738274584026918e-17,0.015724920997625104,0.015979007339330963,0.003083538184313009,1.6326238781293563,0.0006648101295735145,0.0007405034737788132,7.836014864135961e-09
