model,region,N,mean_H_gain,minimum_gain,mean_gap_to_QP,negative_fraction
Liu--Kim--Omberg cap,Far-interior,104,0.46588974830690144,0.0064050724907862,0.00026948902717185,0.0
Liu--Kim--Omberg cap,Near-switching,20,0.12239688309604077,0.0044941958731057,0.00026796174404492,0.0
Liu--Kim--Omberg cap,Upper-active,132,0.1574004445847091,0.0004569041825633,0.0002720463825268493,0.0
Merton cap,Far-interior,89,0.12891797894392265,0.0022545064251218,0.0002219134060520236,0.0
Merton cap,Near-switching,8,0.0029130045936055374,0.0005214360541954,0.00022108840394789999,0.0
Merton cap,Upper-active,95,0.06747946479770277,0.0002192745321766,0.00022214255086352,0.0
