seed,epoch,dpo_policy_rmse,dpo_kkt_pg,dpo_H_gap_to_QP,barrier_kkt_pg,barrier_H_gap_to_QP,full_qp_kkt_pg,full_zero_action_l2
1,250,0.014108712971082519,0.04920888955302233,0.027860078310607134,0.0012067496261414918,3.0956845068651185e-05,1.2194113136399137e-17,0.04653973924788585
1,500,0.011357905490993725,0.025109971451058498,0.004778337437626583,0.0008069339710099393,1.7354357726096138e-05,1.3687176737592795e-17,0.0030142164438167777
1,1000,0.011263378931312563,0.02452466822607204,0.004690319527167963,0.0008061675756699414,1.7288145691704023e-05,1.2845219679932597e-17,0.0007238161986402028
2,250,0.01258136556400278,0.03882875686772137,0.018049221864924088,0.0010108253268732682,2.4749056813226185e-05,1.310825024364633e-17,0.03960590545437474
2,500,0.011052995943862207,0.022754760774962114,0.004021347583803873,0.0008061385557384243,1.732921982939049e-05,1.7117566746539447e-13,0.002822822484670117
2,1000,0.01105436923139455,0.022569335302842004,0.00411442169975779,0.0008060555359777088,1.728340248960009e-05,1.3263596239080438e-17,0.0008146113747795158
3,250,0.013994217098331348,0.04359997482541568,0.022998828646747006,0.0011330008703447463,2.843919970739494e-05,1.3543560737045848e-17,0.04334695912568751
3,500,0.011340719790896948,0.02445933291255958,0.004600011690045099,0.0008065959682561172,1.7341655731578888e-05,1.394348727284866e-17,0.0028538322580383855
3,1000,0.011252144206777085,0.024740920290007296,0.00469930692758514,0.0008062634467226774,1.7286519948780154e-05,6.927751643467005e-13,0.0006999396476719571
