dY,historical_DPO_warmup_minutes,OL_BPTT_Z_projection_QP_seconds,holdout_seconds,total_revalidation_seconds,total_revalidation_minutes,QP_KKT
1,1.883,140.0204393202439,137.16290947888047,277.18334879912436,4.619722479985406,2.651323076129072e-16
3,2.225,167.4374966258183,165.49268838576972,332.93018501158804,5.548836416859801,1.5338119516144223e-16
5,2.2,208.93590355478227,201.64009759761393,410.5760011523962,6.842933352539936,1.7022252924492162e-16
