calibration,lambda_X_nRMSE,PXX_nRMSE,PXY_vs_VXY_nRMSE,Z_X_nRMSE,zeta_norm_mean,zeta_SE_mean,zeta_SNR_mean,decoded_policy_coordinatewise_RMSE,zero_policy_coordinatewise_RMSE,holdout_full_minus_zero
Canonical,0.0011612632251435083,0.0013447696466534625,0.003179250746474226,0.0026006234926016334,0.0006252032191094652,0.0007528178392454749,0.9171831030109701,0.002464773842979837,1.787828819465587e-05,-2.193382790804313e-07
Hedging-relevant,0.0018263289805510656,0.0016934155308046279,0.003501960020399034,0.009863366802600441,0.0043318012666087695,0.005650635997499652,0.7917947958611339,0.008429385251435004,0.00018981632634504085,-1.0516983507482051e-06
