model,epsilon,mean_gain,minimum_gain,negative_share,gap_to_QP,converged
Merton cap,1e-05,0.02523447902829154,-0.0001777019901355592,0.171875,0.0007175000459108734,1.0
Merton cap,3e-06,0.025729964559957855,0.000291159471148994,0.0,0.0002220145142445562,1.0
Merton cap,1e-06,0.02587706651134513,0.0004351965070756858,0.0,7.491256285728325e-05,1.0
Liu--Kim--Omberg cap,1e-05,0.05300892743440984,0.0001329424368178289,0.0,0.0008468444692099047,1.0
Liu--Kim--Omberg cap,3e-06,0.05359788692004147,0.0006086930288770054,0.0,0.00025788498357826907,1.0
Liu--Kim--Omberg cap,1e-06,0.05376931327563736,0.000755052128792677,0.0,8.64586279823807e-05,1.0
