benchmark,d,dY,DPO_KKT,B_PGDPO_KKT,QP_PGDPO_KKT,QP_PGDPO_gain,full_zero_action_l2
Liu--Kim--Omberg factor,100,,0.024701799798240522,0.0020060656652232576,5.738274584026918e-17,0.015979007339330963,0.0007405034737788132
Supplementary affine factor,100,1.0,0.00982656826742773,,2.651323076129072e-16,0.0015537864356896579,0.0008293774308577896
Supplementary affine factor,100,3.0,0.04233222411729601,,1.5338119516144223e-16,0.01933340769259512,0.0009050530637831834
Supplementary affine factor,100,5.0,0.05434584893660245,,1.7022252924492162e-16,0.024785060316405403,0.0006184193007269105
