n,row_type,DPO_u_RMSE,QP_u_RMSE,DPO_C_RMSE,QP_C_RMSE,DPO_portfolio_KKT,QP_portfolio_KKT,DPO_consumption_KKT,QP_consumption_KKT,full_zero_action_l2
2,learned,0.050344951720711205,0.0023182959504843776,0.13107665750484768,0.0013332182049096443,0.010672983801521244,9.308942334221438e-18,0.4340513171823523,3.611394162674928e-17,0.0023735043284280923
10,learned,0.02394035635339951,0.0008876797269391409,0.1275864515739512,0.0012846970098150518,0.00829223136198121,2.282283879487903e-17,0.41916638153081315,7.177217974913605e-17,0.0021047970086198473
100,exact_policy,0.0,0.00010249570714693851,0.0,0.0027883012783145164,9.062740456589315e-05,1.1076245629790592e-16,0.010450120138012511,1.340432232501499e-16,0.0009953658398449078
100,learned,0.008450113702073003,0.0001933168612272717,0.12502074545589764,0.0017954872432068038,0.010900967271881777,1.0980422743548142e-16,0.412984821525829,3.493393464731962e-17,0.001541835333045128
