model,split,portfolio_KKT_PG,joint_H_gain_vs_DPO,joint_H_gap_to_QP,converged,full_zero_action_l2,zeta_SNR
Merton cap,iid,0.002611256920611095,0.025729964559957855,0.0002220145142445562,1.0,0.001579716304120708,5.036208475058779
Merton cap,wealth_edge,0.0035445088393486176,0.05006644124181184,0.00022230783333983609,1.0,0.001628854948216255,5.395097623251874
Merton cap,stress,0.004027024767952932,0.20400911480041364,0.00022165488213837098,1.0,0.002448643383084927,11.592728729186874
Liu--Kim--Omberg cap,iid,0.0025968250560811285,0.05359788692004147,0.00025788498357826907,1.0,0.0012144931165095985,5.554010961278787
Liu--Kim--Omberg cap,wealth_edge,0.0032115558560849643,0.11617615278419076,0.00025813655418529917,1.0,0.0011157124847163474,5.745960979160645
Liu--Kim--Omberg cap,factor_edge,0.0015078384355470256,0.2518201419238667,0.00028350820998819526,1.0,0.001255398793138277,7.039495027147469
Liu--Kim--Omberg cap,stress,0.0012930747849030579,0.6983641022940912,0.0002832236303783719,1.0,0.0012261401622336316,11.10855868276777
